sources,destinations,protocol,ecn,checksum,packet_time
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000037
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000048
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.00996
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000042
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000042
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.069993
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000005
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000037
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000038
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.041918
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000054
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000037
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.010009
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000032
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000036
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000038
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000045
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.050391
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000037
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.00004
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.010019
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000034
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000036
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.062586
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000047
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000043
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.17006
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.056041
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000037
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.00005
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.023394
